League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Bundesliga 2,01/04/95,Mannheim,Homburg,0.0,0.8,H
Bundesliga 2,01/04/95,Wattenscheid,Nurnberg,2.0,0.0,D
Bundesliga 2,02/04/95,Chemnitz,St Pauli,4.0,2.0,H
Bundesliga 2,02/04/95,Hannover,F Koln,3.0,0.4,H
Bundesliga 2,02/04/95,Meppen,FSV Frankfurt,1.0,2.0,D
Bundesliga 2,03/04/95,Hansa Rostock,Wolfsburg,2.0,0.0,H
Bundesliga 2,07/04/95,F Koln,Hansa Rostock,0.0,0.0,H
Bundesliga 2,07/04/95,Hertha,Wattenscheid,0.0,1.0,H
Bundesliga 2,07/04/95,Nurnberg,Hannover,1.0,0.0,D
Bundesliga 2,08/04/95,FSV Frankfurt,Leipzig,1.0,1.0,D
Bundesliga 2,08/04/95,Homburg,Meppen,1.0,0.0,D
Bundesliga 2,08/04/95,Wolfsburg,Mannheim,3.0,0.0,D
Bundesliga 2,09/04/95,Mainz,Chemnitz,2.0,5.0,A
Bundesliga 2,09/04/95,St Pauli,Saarbrucken,0.0,0.0,D
Bundesliga 2,09/04/95,Zwickau,Dusseldorf,2.0,1.0,D
Bundesliga 2,10/04/95,Hannover,Hertha,1.0,1.2,H
Bundesliga 2,13/04/95,Dusseldorf,FSV Frankfurt,2.0,2.0,D
Bundesliga 2,13/04/95,Mannheim,Hansa Rostock,2.0,2.0,D
Bundesliga 2,15/04/95,Chemnitz,Zwickau,4.0,1.0,D
Bundesliga 2,15/04/95,Meppen,Wolfsburg,0.0,1.0,H
Bundesliga 2,15/04/95,Nurnberg,F Koln,1.0,1.0,D
Bundesliga 2,16/04/95,Leipzig,Homburg,2.0,0.0,H
Bundesliga 2,16/04/95,Saarbrucken,Mainz,1.0,0.0,H
Bundesliga 2,16/04/95,Wattenscheid,St Pauli,1.0,0.0,D
Bundesliga 2,21/04/95,F Koln,Mannheim,3.0,2.0,D
Bundesliga 2,21/04/95,Hansa Rostock,Meppen,0.0,2.0,D
Bundesliga 2,21/04/95,Hertha,Nurnberg,0.0,1.0,D
Bundesliga 2,22/04/95,FSV Frankfurt,Chemnitz,0.0,1.0,H
Bundesliga 2,22/04/95,Homburg,Dusseldorf,1.0,2.0,D
Bundesliga 2,22/04/95,St Pauli,Hannover,2.0,1.0,D
Bundesliga 2,22/04/95,Wolfsburg,Leipzig,2.0,1.0,D
Bundesliga 2,23/04/95,Mainz,Wattenscheid,1.0,0.0,H
Bundesliga 2,23/04/95,Zwickau,Saarbrucken,2.0,0.0,D
Bundesliga 2,28/04/95,Leipzig,Hansa Rostock,0.0,1.0,H
Bundesliga 2,28/04/95,Wattenscheid,Zwickau,3.0,0.0,H
Bundesliga 2,29/04/95,Dusseldorf,Wolfsburg,1.0,1.0,D
Bundesliga 2,29/04/95,Hannover,Mainz,2.0,0.0,H
Bundesliga 2,29/04/95,Saarbrucken,FSV Frankfurt,1.0,1.0,H
Bundesliga 2,30/04/95,Chemnitz,Homburg,1.0,0.0,H
Bundesliga 2,30/04/95,Hertha,F Koln,2.0,0.0,H
Bundesliga 2,30/04/95,Meppen,Mannheim,3.0,0.0,D
Bundesliga 2,01/05/95,Nurnberg,St Pauli,0.0,1.0,D
Bundesliga 2,03/05/95,Mainz,Wolfsburg,0.0,0.0,H
Bundesliga 2,04/05/95,Meppen,Hertha,3.0,0.0,H
Bundesliga 2,05/05/95,Hansa Rostock,Dusseldorf,3.0,3.0,D
Bundesliga 2,05/05/95,Homburg,Saarbrucken,4.0,1.0,H
Bundesliga 2,06/05/95,FSV Frankfurt,Wattenscheid,1.0,5.0,A
Bundesliga 2,06/05/95,Mainz,Nurnberg,2.0,0.0,H
Bundesliga 2,07/05/95,F Koln,Meppen,3.0,2.0,D
Bundesliga 2,07/05/95,Wolfsburg,Chemnitz,1.0,1.0,H
Bundesliga 2,07/05/95,Zwickau,Hannover,0.0,1.0,D
Bundesliga 2,08/05/95,St Pauli,Hertha,2.0,1.0,D
Bundesliga 2,10/05/95,Mannheim,Leipzig,2.0,3.0,A
Bundesliga 2,12/05/95,Saarbrucken,Wolfsburg,0.0,0.0,D
Bundesliga 2,12/05/95,Wattenscheid,Homburg,1.0,2.0,H
Bundesliga 2,13/05/95,Chemnitz,Hansa Rostock,2.0,1.0,D
Bundesliga 2,13/05/95,Hertha,Mainz,0.0,1.0,D
Bundesliga 2,13/05/95,Leipzig,Meppen,5.0,0.0,D
Bundesliga 2,14/05/95,Hannover,FSV Frankfurt,4.0,0.8,H
Bundesliga 2,14/05/95,Nurnberg,Zwickau,1.0,1.0,D
Bundesliga 2,14/05/95,St Pauli,F Koln,0.0,0.0,H
Bundesliga 2,15/05/95,Dusseldorf,Mannheim,5.0,1.0,D
Bundesliga 2,19/05/95,Mannheim,Chemnitz,1.0,0.0,H
Bundesliga 2,19/05/95,Wolfsburg,Wattenscheid,2.0,1.0,H
Bundesliga 2,19/05/95,Zwickau,Hertha,0.0,3.0,D
Bundesliga 2,20/05/95,FSV Frankfurt,Nurnberg,3.0,2.0,D
Bundesliga 2,20/05/95,Homburg,Hannover,5.0,2.0,D
Bundesliga 2,20/05/95,Mainz,St Pauli,1.0,1.0,D
Bundesliga 2,21/05/95,F Koln,Leipzig,2.0,2.0,D
Bundesliga 2,21/05/95,Meppen,Dusseldorf,0.0,4.0,A
Bundesliga 2,22/05/95,Hansa Rostock,Saarbrucken,1.0,2.0,H
Bundesliga 2,26/05/95,Hannover,Wolfsburg,4.0,1.0,D
Bundesliga 2,26/05/95,Nurnberg,Homburg,2.0,0.0,H
Bundesliga 2,26/05/95,St Pauli,Zwickau,1.0,0.0,H
Bundesliga 2,27/05/95,F Koln,Mainz,1.0,1.0,H
Bundesliga 2,27/05/95,Hertha,FSV Frankfurt,1.0,1.0,A
Bundesliga 2,27/05/95,Saarbrucken,Mannheim,2.0,0.0,H
Bundesliga 2,28/05/95,Leipzig,Dusseldorf,0.0,2.0,D
Bundesliga 2,28/05/95,Wattenscheid,Hansa Rostock,4.0,4.0,A
Bundesliga 2,29/05/95,Chemnitz,Meppen,2.0,0.0,H
Bundesliga 2,11/06/95,Dusseldorf,F Koln,0.0,1.0,H
Bundesliga 2,11/06/95,FSV Frankfurt,St Pauli,2.0,3.0,A
Bundesliga 2,11/06/95,Hansa Rostock,Hannover,2.0,0.0,H
Bundesliga 2,11/06/95,Homburg,Hertha,2.0,0.0,H
Bundesliga 2,11/06/95,Mannheim,Wattenscheid,3.0,1.0,D
Bundesliga 2,11/06/95,Meppen,Saarbrucken,0.0,0.8,H
Bundesliga 2,11/06/95,Wolfsburg,Nurnberg,4.0,2.0,H
Bundesliga 2,11/06/95,Zwickau,Mainz,5.0,1.0,H
Bundesliga 2,15/06/95,Leipzig,Chemnitz,0.0,0.0,H
Bundesliga 2,18/06/95,Chemnitz,Dusseldorf,0.0,2.0,D
Bundesliga 2,18/06/95,F Koln,Zwickau,2.0,0.0,H
Bundesliga 2,18/06/95,Hannover,Mannheim,2.0,2.0,D
Bundesliga 2,18/06/95,Hertha,Wolfsburg,0.0,3.0,D
Bundesliga 2,18/06/95,Mainz,FSV Frankfurt,1.0,1.2,H
Bundesliga 2,18/06/95,Nurnberg,Hansa Rostock,1.0,1.0,H
Bundesliga 2,18/06/95,Saarbrucken,Leipzig,1.0,3.0,D
Bundesliga 2,18/06/95,St Pauli,Homburg,2.0,0.0,H
Bundesliga 2,18/06/95,Wattenscheid,Meppen,0.0,2.0,D
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,,,,,,
Bundesliga 2,11/08/06,Burghausen,Karlsruhe,1.0,4.0,A
Bundesliga 2,11/08/06,Kaiserslautern,Essen,2.0,0.0,H
Bundesliga 2,11/08/06,Offenbach,CZ Jena,1.0,2.0,D
Bundesliga 2,13/08/06,Braunschweig,Paderborn,4.0,0.0,D
Bundesliga 2,13/08/06,Duisburg,Koblenz,0.0,1.0,H
Bundesliga 2,13/08/06,Erzgebirge Aue,Unterhaching,1.0,0.0,H
Bundesliga 2,13/08/06,Freiburg,Hansa Rostock,1.0,0.0,D
Bundesliga 2,13/08/06,Greuther Furth,Munich 1860,0.0,1.0,D
Bundesliga 2,14/08/06,Augsburg,FC Koln,2.0,2.0,A
Bundesliga 2,18/08/06,CZ Jena,Braunschweig,2.0,0.0,D
Bundesliga 2,18/08/06,Hansa Rostock,Erzgebirge Aue,0.0,0.0,H
Bundesliga 2,18/08/06,Munich 1860,Offenbach,1.0,0.0,H
Bundesliga 2,20/08/06,Essen,Freiburg,0.0,0.0,H
Bundesliga 2,20/08/06,FC Koln,Burghausen,2.0,0.0,H
Bundesliga 2,20/08/06,Koblenz,Greuther Furth,2.0,0.0,H
Bundesliga 2,20/08/06,Paderborn,Augsburg,0.0,0.0,H
Bundesliga 2,20/08/06,Unterhaching,Duisburg,3.0,1.0,H
Bundesliga 2,21/08/06,Karlsruhe,Kaiserslautern,1.0,0.0,H
Bundesliga 2,25/08/06,CZ Jena,FC Koln,0.0,2.0,H
Bundesliga 2,25/08/06,Freiburg,Unterhaching,3.0,1.0,D
Bundesliga 2,25/08/06,Offenbach,Karlsruhe,2.0,1.0,D
Bundesliga 2,27/08/06,Augsburg,Essen,2.0,0.0,D
Bundesliga 2,27/08/06,Braunschweig,Koblenz,2.0,2.0,D
Bundesliga 2,27/08/06,Duisburg,Erzgebirge Aue,0.0,0.8,H
Bundesliga 2,27/08/06,Greuther Furth,Hansa Rostock,2.0,3.0,A
Bundesliga 2,27/08/06,Kaiserslautern,Paderborn,0.0,0.0,H
Bundesliga 2,28/08/06,Burghausen,Munich 1860,0.0,2.0,D
Bundesliga 2,15/09/06,Essen,CZ Jena,1.0,1.2,D
Bundesliga 2,15/09/06,FC Koln,Braunschweig,2.0,0.0,H
Bundesliga 2,15/09/06,Unterhaching,Augsburg,2.0,1.0,D
Bundesliga 2,17/09/06,Erzgebirge Aue,Greuther Furth,1.0,3.0,A
Bundesliga 2,17/09/06,Karlsruhe,Duisburg,3.0,3.0,D
Bundesliga 2,17/09/06,Koblenz,Burghausen,5.0,2.0,A
Bundesliga 2,17/09/06,Munich 1860,Freiburg,1.0,1.0,D
Bundesliga 2,17/09/06,Paderborn,Offenbach,4.0,1.0,H
Bundesliga 2,18/09/06,Hansa Rostock,Kaiserslautern,2.0,0.0,H
Bundesliga 2,22/09/06,Braunschweig,Karlsruhe,2.0,2.0,D
Bundesliga 2,22/09/06,Freiburg,Greuther Furth,1.0,3.0,D
Bundesliga 2,22/09/06,Kaiserslautern,Koblenz,0.0,3.0,H
Bundesliga 2,24/09/06,Augsburg,Hansa Rostock,0.0,1.0,D
Bundesliga 2,24/09/06,Burghausen,Erzgebirge Aue,1.0,1.0,D
Bundesliga 2,24/09/06,CZ Jena,Paderborn,3.0,1.0,D
Bundesliga 2,24/09/06,Duisburg,Munich 1860,4.0,0.0,D
Bundesliga 2,24/09/06,Offenbach,Unterhaching,2.0,1.0,D
Bundesliga 2,25/09/06,FC Koln,Essen,2.0,0.0,H
Bundesliga 2,29/09/06,Koblenz,Offenbach,5.0,1.0,D
Bundesliga 2,29/09/06,Paderborn,FC Koln,1.0,0.0,H
Bundesliga 2,29/09/06,Unterhaching,Kaiserslautern,3.0,1.0,D
Bundesliga 2,01/10/06,Erzgebirge Aue,Freiburg,1.0,1.0,H
Bundesliga 2,01/10/06,Essen,Braunschweig,1.0,0.0,H
Bundesliga 2,01/10/06,Greuther Furth,Burghausen,3.0,0.4,H
Bundesliga 2,01/10/06,Karlsruhe,Augsburg,2.0,2.0,H
Bundesliga 2,01/10/06,Munich 1860,CZ Jena,0.0,0.0,H
Bundesliga 2,02/10/06,Hansa Rostock,Duisburg,2.0,0.0,H
Bundesliga 2,13/10/06,Augsburg,Greuther Furth,1.0,0.0,H
Bundesliga 2,13/10/06,Braunschweig,Munich 1860,0.0,0.0,H
Bundesliga 2,13/10/06,Duisburg,Freiburg,3.0,1.0,D
Bundesliga 2,15/10/06,Burghausen,Hansa Rostock,3.0,1.0,H
Bundesliga 2,15/10/06,CZ Jena,Unterhaching,1.0,2.0,D
Bundesliga 2,15/10/06,Kaiserslautern,Erzgebirge Aue,4.0,0.8,H
Bundesliga 2,15/10/06,Offenbach,Essen,2.0,0.0,H
Bundesliga 2,15/10/06,Paderborn,Koblenz,2.0,2.0,D
Bundesliga 2,16/10/06,FC Koln,Karlsruhe,2.0,1.0,D
Bundesliga 2,20/10/06,Freiburg,Burghausen,1.0,0.0,H
Bundesliga 2,20/10/06,Greuther Furth,Duisburg,1.0,5.0,A
Bundesliga 2,20/10/06,Karlsruhe,CZ Jena,1.0,1.2,H
Bundesliga 2,20/10/06,Unterhaching,FC Koln,4.0,0.0,D
Bundesliga 2,22/10/06,Erzgebirge Aue,Braunschweig,0.0,0.0,H
Bundesliga 2,22/10/06,Essen,Paderborn,1.0,2.0,D
Bundesliga 2,22/10/06,Hansa Rostock,Offenbach,1.0,1.0,H
Bundesliga 2,22/10/06,Munich 1860,Kaiserslautern,3.0,1.0,H
Bundesliga 2,23/10/06,Koblenz,Augsburg,1.0,1.0,D
Bundesliga 2,27/10/06,Augsburg,Munich 1860,1.0,0.0,H
Bundesliga 2,27/10/06,Braunschweig,Greuther Furth,3.0,2.0,D
Bundesliga 2,27/10/06,CZ Jena,Koblenz,1.0,0.0,H
Bundesliga 2,29/10/06,Burghausen,Duisburg,1.0,1.0,D
Bundesliga 2,29/10/06,Essen,Karlsruhe,2.0,2.0,D
Bundesliga 2,29/10/06,FC Koln,Hansa Rostock,2.0,2.0,D
Bundesliga 2,29/10/06,Offenbach,Erzgebirge Aue,6.0,1.0,H
Bundesliga 2,29/10/06,Paderborn,Unterhaching,1.0,0.0,H
Bundesliga 2,30/10/06,Kaiserslautern,Freiburg,3.0,3.0,D
Bundesliga 2,03/11/06,Freiburg,Braunschweig,1.0,0.0,H
Bundesliga 2,03/11/06,Hansa Rostock,CZ Jena,1.0,1.0,D
Bundesliga 2,03/11/06,Karlsruhe,Paderborn,1.0,0.0,H
Bundesliga 2,03/11/06,Koblenz,FC Koln,1.0,1.0,H
Bundesliga 2,03/11/06,Munich 1860,Essen,2.0,0.0,H
Bundesliga 2,03/11/06,Unterhaching,Burghausen,1.0,2.0,D
Bundesliga 2,05/11/06,Duisburg,Kaiserslautern,4.0,1.0,D
Bundesliga 2,05/11/06,Erzgebirge Aue,Augsburg,2.0,1.0,D
Bundesliga 2,05/11/06,Greuther Furth,Offenbach,4.0,0.0,H
Bundesliga 2,07/11/06,Braunschweig,Unterhaching,0.0,3.0,D
Bundesliga 2,07/11/06,Essen,Koblenz,0.0,1.0,H
Bundesliga 2,07/11/06,Karlsruhe,Munich 1860,2.0,0.0,H
Bundesliga 2,07/11/06,Paderborn,Hansa Rostock,1.0,2.0,D
Bundesliga 2,08/11/06,Augsburg,Freiburg,1.0,0.0,H
Bundesliga 2,08/11/06,CZ Jena,Greuther Furth,2.0,1.0,D
Bundesliga 2,08/11/06,FC Koln,Erzgebirge Aue,1.0,1.0,H
Bundesliga 2,08/11/06,Kaiserslautern,Burghausen,4.0,0.8,H
Bundesliga 2,08/11/06,Offenbach,Duisburg,2.0,0.0,D
Bundesliga 2,10/11/06,Hansa Rostock,Braunschweig,1.0,1.2,H
Bundesliga 2,10/11/06,Koblenz,Karlsruhe,0.0,1.0,D
Bundesliga 2,10/11/06,Munich 1860,Paderborn,0.0,0.0,H
Bundesliga 2,12/11/06,Burghausen,Offenbach,0.0,0.8,H
Bundesliga 2,12/11/06,Duisburg,Augsburg,1.0,0.0,H
Bundesliga 2,12/11/06,Erzgebirge Aue,CZ Jena,1.0,1.2,H
Bundesliga 2,12/11/06,Freiburg,FC Koln,2.0,0.0,D
Bundesliga 2,12/11/06,Unterhaching,Essen,4.0,1.0,H
Bundesliga 2,13/11/06,Greuther Furth,Kaiserslautern,1.0,2.0,D
Bundesliga 2,17/11/06,Braunschweig,Duisburg,2.0,1.0,D
Bundesliga 2,17/11/06,CZ Jena,Freiburg,1.0,1.0,H
Bundesliga 2,17/11/06,Offenbach,Kaiserslautern,2.0,1.0,D
Bundesliga 2,19/11/06,Augsburg,Burghausen,1.0,0.0,H
Bundesliga 2,19/11/06,Essen,Erzgebirge Aue,1.0,1.0,H
Bundesliga 2,19/11/06,FC Koln,Munich 1860,2.0,2.0,A
Bundesliga 2,19/11/06,Koblenz,Unterhaching,0.0,0.0,D
Bundesliga 2,19/11/06,Paderborn,Greuther Furth,4.0,0.0,D
Bundesliga 2,20/11/06,Karlsruhe,Hansa Rostock,1.0,1.2,D
Bundesliga 2,24/11/06,Duisburg,CZ Jena,1.0,1.2,H
Bundesliga 2,24/11/06,Hansa Rostock,Essen,1.0,0.0,H
Bundesliga 2,24/11/06,Kaiserslautern,Augsburg,0.0,0.0,D
Bundesliga 2,26/11/06,Burghausen,Braunschweig,1.0,1.0,D
Bundesliga 2,26/11/06,Erzgebirge Aue,Paderborn,2.0,0.0,H
Bundesliga 2,26/11/06,Freiburg,Offenbach,4.0,3.0,A
Bundesliga 2,26/11/06,Greuther Furth,FC Koln,2.0,2.0,D
Bundesliga 2,26/11/06,Unterhaching,Karlsruhe,1.0,1.0,H
Bundesliga 2,27/11/06,Munich 1860,Koblenz,0.0,1.0,H
Bundesliga 2,01/12/06,Essen,Greuther Furth,1.0,0.0,H
Bundesliga 2,01/12/06,Koblenz,Hansa Rostock,3.0,3.0,D
Bundesliga 2,01/12/06,Paderborn,Freiburg,1.0,1.0,D
Bundesliga 2,03/12/06,Braunschweig,Kaiserslautern,0.0,1.0,H
Bundesliga 2,03/12/06,CZ Jena,Burghausen,2.0,2.0,D
Bundesliga 2,03/12/06,Karlsruhe,Erzgebirge Aue,0.0,1.0,H
Bundesliga 2,03/12/06,Offenbach,Augsburg,0.0,2.0,H
Bundesliga 2,03/12/06,Unterhaching,Munich 1860,2.0,0.0,H
Bundesliga 2,04/12/06,FC Koln,Duisburg,1.0,3.0,A
Bundesliga 2,08/12/06,Burghausen,Essen,0.0,1.0,D
Bundesliga 2,08/12/06,Erzgebirge Aue,Koblenz,1.0,1.0,H
Bundesliga 2,08/12/06,Kaiserslautern,CZ Jena,0.0,0.0,D
Bundesliga 2,10/12/06,Augsburg,Braunschweig,1.0,0.0,D
Bundesliga 2,10/12/06,Duisburg,Paderborn,1.0,1.0,D
Bundesliga 2,10/12/06,Greuther Furth,Unterhaching,1.0,0.0,H
Bundesliga 2,10/12/06,Hansa Rostock,Munich 1860,3.0,1.0,D
Bundesliga 2,10/12/06,Offenbach,FC Koln,6.0,0.0,H
Bundesliga 2,11/12/06,Freiburg,Karlsruhe,4.0,4.0,A
Bundesliga 2,15/12/06,CZ Jena,Augsburg,2.0,2.0,D
Bundesliga 2,15/12/06,FC Koln,Kaiserslautern,2.0,2.0,D
Bundesliga 2,15/12/06,Unterhaching,Hansa Rostock,1.0,0.0,D
Bundesliga 2,17/12/06,Braunschweig,Offenbach,4.0,2.0,D
Bundesliga 2,17/12/06,Essen,Duisburg,1.0,2.0,D
Bundesliga 2,17/12/06,Karlsruhe,Greuther Furth,4.0,0.0,H
Bundesliga 2,17/12/06,Koblenz,Freiburg,2.0,1.0,A
Bundesliga 2,17/12/06,Paderborn,Burghausen,1.0,1.0,D
Bundesliga 2,18/12/06,Munich 1860,Erzgebirge Aue,1.0,1.2,H
Bundesliga 2,19/01/07,CZ Jena,Offenbach,3.0,3.0,D
Bundesliga 2,19/01/07,Essen,Kaiserslautern,0.0,0.0,D
Bundesliga 2,19/01/07,Unterhaching,Erzgebirge Aue,3.0,1.0,D
Bundesliga 2,21/01/07,FC Koln,Augsburg,1.0,1.0,D
Bundesliga 2,21/01/07,Karlsruhe,Burghausen,1.0,1.0,H
Bundesliga 2,21/01/07,Koblenz,Duisburg,2.0,1.0,D
Bundesliga 2,21/01/07,Munich 1860,Greuther Furth,1.0,3.0,A
Bundesliga 2,21/01/07,Paderborn,Braunschweig,0.0,0.0,D
Bundesliga 2,22/01/07,Hansa Rostock,Freiburg,1.0,1.0,H
Bundesliga 2,26/01/07,Braunschweig,CZ Jena,3.0,0.0,H
Bundesliga 2,26/01/07,Burghausen,FC Koln,3.0,3.0,D
Bundesliga 2,28/01/07,Duisburg,Unterhaching,4.0,0.8,H
Bundesliga 2,28/01/07,Erzgebirge Aue,Hansa Rostock,3.0,0.0,H
Bundesliga 2,28/01/07,Freiburg,Essen,2.0,1.0,H
